date,target,item_id
2/17/2013,36800,Close
2/18/2013,37100,Close
2/19/2013,37250,Close
2/20/2013,36900,Close
2/21/2013,36750,Close
2/23/2013,36800,Close
2/24/2013,36750,Close
2/25/2013,37460,Close
2/26/2013,37650,Close
2/27/2013,37050,Close
2/28/2013,36750,Close
3/2/2013,36450,Close
3/3/2013,34900,Close
3/4/2013,33050,Close
3/5/2013,34400,Close
3/6/2013,35900,Close
3/7/2013,35700,Close
3/9/2013,34800,Close
3/10/2013,34750,Close
3/11/2013,35100,Close
3/12/2013,34750,Close
3/13/2013,34400,Close
3/14/2013,34000,Close
3/16/2013,33320,Close
3/17/2013,34100,Close
3/18/2013,34050,Close
4/6/2013,35100,Close
4/7/2013,36350,Close
4/8/2013,35400,Close
4/9/2013,35400,Close
4/10/2013,35150,Close
4/11/2013,35050,Close
4/13/2013,35150,Close
4/15/2013,35050,Close
4/16/2013,35050,Close
4/17/2013,35250,Close
4/18/2013,35300,Close
4/20/2013,35200,Close
4/21/2013,35350,Close
4/22/2013,35500,Close
4/23/2013,35600,Close
4/24/2013,36400,Close
4/25/2013,36150,Close
4/27/2013,35850,Close
4/28/2013,35850,Close
4/29/2013,35900,Close
4/30/2013,35800,Close
5/1/2013,35700,Close
5/2/2013,35550,Close
5/4/2013,35600,Close
5/5/2013,36000,Close
5/6/2013,35700,Close
5/7/2013,35600,Close
5/8/2013,35450,Close
5/9/2013,35350,Close
5/11/2013,34650,Close
5/12/2013,34900,Close
5/13/2013,35300,Close
5/14/2013,35250,Close
5/15/2013,35050,Close
5/16/2013,35150,Close
5/18/2013,35050,Close
5/19/2013,34750,Close
5/20/2013,34700,Close
5/21/2013,34900,Close
5/22/2013,35650,Close
5/23/2013,35450,Close
5/25/2013,35700,Close
5/26/2013,36150,Close
5/27/2013,36280,Close
5/28/2013,36850,Close
5/29/2013,36580,Close
5/30/2013,36200,Close
6/1/2013,36450,Close
6/2/2013,36280,Close
6/3/2013,36350,Close
6/8/2013,36700,Close
6/9/2013,36300,Close
6/10/2013,36200,Close
6/11/2013,35850,Close
6/12/2013,36450,Close
6/13/2013,36300,Close
6/15/2013,34800,Close
6/16/2013,35100,Close
6/17/2013,34550,Close
6/18/2013,34500,Close
6/19/2013,34000,Close
6/20/2013,33000,Close
6/22/2013,32000,Close
6/23/2013,30900,Close
6/25/2013,33100,Close
6/26/2013,32950,Close
6/27/2013,33600,Close
6/29/2013,33200,Close
6/30/2013,33500,Close
7/1/2013,33900,Close
7/2/2013,33700,Close
7/3/2013,33600,Close
7/4/2013,33650,Close
7/6/2013,33200,Close
7/7/2013,32950,Close
7/8/2013,33350,Close
7/9/2013,33100,Close
7/10/2013,33000,Close
7/11/2013,33150,Close
7/13/2013,32850,Close
7/14/2013,32700,Close
7/15/2013,32600,Close
7/16/2013,32600,Close
7/17/2013,32150,Close
7/18/2013,31650,Close
7/20/2013,31000,Close
7/21/2013,31150,Close
7/22/2013,31600,Close
7/23/2013,31200,Close
7/24/2013,31650,Close
7/25/2013,31600,Close
7/27/2013,31700,Close
7/28/2013,31800,Close
7/29/2013,31700,Close
7/31/2013,31700,Close
8/1/2013,31800,Close
8/3/2013,32850,Close
8/4/2013,32400,Close
8/5/2013,32000,Close
8/6/2013,31900,Close
8/7/2013,32250,Close
8/8/2013,32150,Close
8/11/2013,32200,Close
8/12/2013,32250,Close
8/13/2013,31950,Close
8/14/2013,31950,Close
8/15/2013,32000,Close
8/17/2013,31700,Close
8/18/2013,31580,Close
8/19/2013,31450,Close
8/20/2013,31000,Close
8/21/2013,30950,Close
8/22/2013,31200,Close
8/24/2013,31250,Close
8/25/2013,31200,Close
8/26/2013,31250,Close
8/27/2013,31750,Close
8/28/2013,33000,Close
8/29/2013,32400,Close
8/31/2013,32700,Close
9/1/2013,32400,Close
9/3/2013,32700,Close
9/4/2013,33050,Close
9/5/2013,33200,Close
9/7/2013,32800,Close
9/8/2013,32900,Close
9/9/2013,32850,Close
9/10/2013,32000,Close
9/11/2013,31800,Close
9/12/2013,31800,Close
9/14/2013,31700,Close
9/15/2013,31700,Close
9/16/2013,31300,Close
9/17/2013,30600,Close
9/18/2013,30800,Close
9/19/2013,30800,Close
9/21/2013,29000,Close
9/22/2013,29300,Close
9/23/2013,29350,Close
9/24/2013,29350,Close
9/25/2013,30700,Close
9/26/2013,30500,Close
9/28/2013,30400,Close
9/29/2013,30650,Close
9/30/2013,30350,Close
10/1/2013,30550,Close
10/2/2013,30550,Close
10/3/2013,30350,Close
10/5/2013,30550,Close
10/6/2013,30550,Close
10/7/2013,30450,Close
10/8/2013,30500,Close
10/9/2013,30350,Close
10/10/2013,30400,Close
10/12/2013,30350,Close
10/13/2013,30150,Close
10/14/2013,30350,Close
10/15/2013,30350,Close
10/17/2013,30450,Close
10/19/2013,30200,Close
10/20/2013,30150,Close
10/21/2013,29950,Close
10/22/2013,30100,Close
10/23/2013,30100,Close
10/26/2013,30150,Close
10/27/2013,30100,Close
10/28/2013,30100,Close
10/29/2013,30150,Close
10/30/2013,30050,Close
10/31/2013,30050,Close
11/2/2013,30120,Close
11/3/2013,30400,Close
11/4/2013,30300,Close
11/5/2013,30100,Close
11/6/2013,30180,Close
11/7/2013,30150,Close
11/9/2013,29950,Close
11/10/2013,30250,Close
11/11/2013,30150,Close
11/12/2013,30180,Close
11/16/2013,30130,Close
11/17/2013,30100,Close
11/18/2013,30030,Close
11/19/2013,30070,Close
11/20/2013,30050,Close
11/21/2013,30100,Close
11/23/2013,30050,Close
11/24/2013,29400,Close
11/25/2013,29150,Close
11/26/2013,29750,Close
11/27/2013,29900,Close
11/28/2013,29620,Close
11/30/2013,29600,Close
12/1/2013,29530,Close
12/2/2013,29530,Close
12/3/2013,29450,Close
12/4/2013,29550,Close
12/5/2013,29520,Close
12/7/2013,29480,Close
12/8/2013,29460,Close
12/9/2013,29420,Close
12/10/2013,29480,Close
12/11/2013,29390,Close
12/12/2013,29350,Close
12/14/2013,29560,Close
12/15/2013,29520,Close
12/16/2013,29470,Close
12/17/2013,29440,Close
12/18/2013,29490,Close
